"id","zone","serviceType","minDays","maxDays","label","createdBy","createdAt","updatedAt"
"081cf864-1b3f-467b-b7e2-fd9d72866ffe","3","ECONOMY","5","10","5–10 business days",,"2026-06-24 14:00:43.968","2026-06-25 11:45:46.625"
"0ed008b4-ecb6-44c8-992f-37938ea2d2cb","3","EXPRESS","2","3","2–3 business days",,"2026-06-24 14:00:43.626","2026-06-25 11:45:46.322"
"199bd693-0c8a-434e-b4fb-a7f3142a2fb5","4","STANDARD","5","7","5–7 business days",,"2026-06-24 14:00:44.291","2026-06-25 11:45:46.918"
"22211077-1eca-43fe-bc56-33f5d311d047","4","EXPRESS","3","5","3–5 business days",,"2026-06-24 14:00:44.133","2026-06-25 11:45:46.77"
"46cd4dcf-f8bc-4b9d-9204-1b86e63a7764","1","EXPRESS","1","1","Same day – next day",,"2026-06-24 14:00:42.453","2026-06-25 11:45:45.074"
"49371610-e9b9-4d4e-8ecc-2a00bcd4c51c","2","ECONOMY","4","7","4–7 business days",,"2026-06-24 14:00:43.466","2026-06-25 11:45:46.154"
"5f8bb47d-3d13-403f-99de-6d675aa5ac24","2","STANDARD","2","4","2–4 business days",,"2026-06-24 14:00:43.299","2026-06-25 11:45:45.997"
"7d959b39-7668-4f3f-becf-edac5a64aa7f","1","ECONOMY","2","4","2–4 business days",,"2026-06-24 14:00:42.96","2026-06-25 11:45:45.667"
"9e40807b-d87f-452d-8c38-0d00d4121198","4","ECONOMY","7","14","7–14 business days",,"2026-06-24 14:00:44.455","2026-06-25 11:45:47.073"
"ab2189d3-5261-4400-979c-e1cfb9fd4ee6","1","STANDARD","1","2","1–2 business days",,"2026-06-24 14:00:42.795","2026-06-25 11:45:45.515"
"b2ef3410-cbc6-4c66-ac03-06983db1143d","2","EXPRESS","1","2","1–2 business days",,"2026-06-24 14:00:43.128","2026-06-25 11:45:45.838"
"dbdf7bf6-22fd-456d-931d-b868329682d0","3","STANDARD","3","5","3–5 business days",,"2026-06-24 14:00:43.793","2026-06-25 11:45:46.478"
